aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
   22     1 hydro     3 d   0 	     0.00479842    0.00000000      0.00044116    0.00000000      0.00022209    0.00000000      0.00813993    0.00000000     -0.00123433    0.00000000      0.00812773    0.00000000      0.00028093    0.00000000     -0.00344678    0.00000000     -0.00559662    0.00000000     -0.00001910    0.00000000      0.00024418    0.00000000     -0.00523037    0.00000000      0.00096085    0.00000000     -0.00593863    0.00000000      0.00006849    0.00000000      0.00024574    0.00000000  
   23     1 hydro     3 d   1 	    -0.00012476    0.00000000      0.00110495    0.00000000      0.00073855    0.00000000      0.00065551    0.00000000      0.00626761    0.00000000      0.00039742    0.00000000     -0.00103985    0.00000000     -0.00033401    0.00000000      0.00018214    0.00000000      0.00006403    0.00000000      0.00199782    0.00000000     -0.00017395    0.00000000     -0.00323001    0.00000000     -0.00030129    0.00000000      0.01002023    0.00000000     -0.02443211    0.00000000  
   24     1 hydro     3 d   2 	    -0.00067156    0.00000000     -0.00009888    0.00000000      0.00005697    0.00000000     -0.00069339    0.00000000      0.00058048    0.00000000     -0.00021003    0.00000000      0.00016912    0.00000000      0.00047806    0.00000000      0.00072713    0.00000000     -0.00001285    0.00000000      0.00025257    0.00000000     -0.00014477    0.00000000     -0.00025858    0.00000000      0.00068317    0.00000000      0.00016146    0.00000000     -0.00031914    0.00000000  
   25     1 hydro     4 f  -3 	     0.00003721    0.00000000     -0.00034527    0.00000000     -0.00033017    0.00000000      0.00002541    0.00000000      0.00051399    0.00000000      0.00003769    0.00000000     -0.00008812    0.00000000     -0.00003073    0.00000000      0.00001667    0.00000000      0.00003370    0.00000000      0.00046953    0.00000000      0.00000103    0.00000000     -0.00010493    0.00000000     -0.00000669    0.00000000     -0.00040348    0.00000000      0.00021077    0.00000000  
   26     1 hydro     4 f  -2 	     0.00034918    0.00000000      0.00012625    0.00000000      0.00008672    0.00000000     -0.00067593    0.00000000      0.00000475    0.00000000      0.00053787    0.00000000      0.00031708    0.00000000      0.00049007    0.00000000      0.00102677    0.00000000      0.00003347    0.00000000      0.00002297    0.00000000     -0.00045239    0.00000000      0.00006763    0.00000000     -0.00006109    0.00000000     -0.00000936    0.00000000     -0.00000305    0.00000000  
   27     1 hydro     4 f  -1 	    -0.00013944    0.00000000      0.00104983    0.00000000      0.00168781    0.00000000      0.00000358    0.00000000     -0.00053905    0.00000000     -0.00011514    0.00000000      0.00048943    0.00000000      0.00047974    0.00000000     -0.00025341    0.00000000     -0.00000229    0.00000000     -0.00043366    0.00000000     -0.00008441    0.00000000     -0.00053497    0.00000000     -0.00004134    0.00000000      0.00183848    0.00000000      0.00061726    0.00000000  
   28     1 hydro     4 f   0 	    -0.00093882    0.00000000     -0.00007590    0.00000000     -0.00006210    0.00000000     -0.00199781    0.00000000      0.00028574    0.00000000     -0.00203951    0.00000000      0.00011074    0.00000000      0.00042394    0.00000000      0.00082597    0.00000000     -0.00003594    0.00000000     -0.00006634    0.00000000      0.00064963    0.00000000     -0.00013230    0.00000000      0.00107481    0.00000000      0.00000777    0.00000000      0.00000373    0.00000000  
   29     1 hydro     4 f   1 	     0.00000707    0.00000000     -0.00004518    0.00000000     -0.00055279    0.00000000     -0.00021390    0.00000000     -0.00130925    0.00000000     -0.00006148    0.00000000     -0.00003210    0.00000000     -0.00028059    0.00000000      0.00014377    0.00000000      0.00001581    0.00000000     -0.00155514    0.00000000      0.00004066    0.00000000      0.00089880    0.00000000      0.00009065    0.00000000      0.00071420    0.00000000     -0.00186986    0.00000000  
   30     1 hydro     4 f   2 	    -0.00029313    0.00000000     -0.00005282    0.00000000     -0.00000974    0.00000000      0.00004054    0.00000000     -0.00012596    0.00000000     -0.00008719    0.00000000      0.00011269    0.00000000     -0.00052984    0.00000000     -0.00054479    0.00000000     -0.00006244    0.00000000     -0.00011423    0.00000000     -0.00012890    0.00000000      0.00009187    0.00000000     -0.00022151    0.00000000      0.00001391    0.00000000      0.00000017    0.00000000  
   31     1 hydro     4 f   3 	     0.00001426    0.00000000     -0.00029168    0.00000000     -0.00062373    0.00000000     -0.00005487    0.00000000     -0.00025769    0.00000000      0.00000449    0.00000000     -0.00004513    0.00000000     -0.00008601    0.00000000      0.00002399    0.00000000     -0.00000847    0.00000000     -0.00031835    0.00000000      0.00002166    0.00000000      0.00034958    0.00000000      0.00002462    0.00000000     -0.00019095    0.00000000     -0.00040894    0.00000000  
   32     2 atomic    1 s   0 	    -0.00086279    0.00000000     -0.00060517    0.00000000      0.00115448    0.00000000     -0.00031043    0.00000000     -0.00004446    0.00000000      0.00083973    0.00000000     -0.00011064    0.00000000     -0.00104193    0.00000000      0.00054501    0.00000000      0.00010020    0.00000000      0.00022784    0.00000000     -0.00015428    0.00000000     -0.00034706    0.00000000     -0.00085405    0.00000000      0.00013580    0.00000000      0.00048435    0.00000000  
   33     2 hydro     3 s   0 	    -0.00487091    0.00000000     -0.00369554    0.00000000      0.00672919    0.00000000     -0.00093487    0.00000000      0.00025531    0.00000000      0.00621702    0.00000000     -0.00046445    0.00000000     -0.00659618    0.00000000      0.00254249    0.00000000      0.00062569    0.00000000      0.00192692    0.00000000     -0.00146446    0.00000000     -0.00215323    0.00000000     -0.00468579    0.00000000      0.00076171    0.00000000      0.00209306    0.00000000  
   34     2 atomic    2 s   0 	     0.01242349    0.00000000      0.00980516    0.00000000     -0.01391643    0.00000000      0.00252104    0.00000000      0.00151285    0.00000000     -0.01668505    0.00000000      0.00049466    0.00000000      0.01929917    0.00000000     -0.00484072    0.00000000     -0.00101905    0.00000000     -0.00268958    0.00000000      0.00647615    0.00000000      0.00393612    0.00000000      0.01320298    0.00000000     -0.00188939    0.00000000     -0.00130901    0.00000000  
