aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
 1548    73 atomic    5 d   2 	    -0.17084018    0.00000000     -0.02655766    0.00000000      0.04245408    0.00000000     -0.02952826    0.00000000      0.04961394    0.00000000     -0.02035487    0.00000000     -0.04348915    0.00000000     -0.01871957    0.00000000      0.04932762    0.00000000      0.01855154    0.00000000      0.08687082    0.00000000      0.02513413    0.00000000     -0.06203744    0.00000000      0.02646507    0.00000000      0.01826123    0.00000000      0.00330084    0.00000000  
 1549    73 hydro     3 d  -2 	     0.00025387    0.00000000     -0.00287032    0.00000000     -0.00917304    0.00000000      0.00840305    0.00000000      0.00330549    0.00000000     -0.00741762    0.00000000      0.00473700    0.00000000     -0.00678643    0.00000000      0.00483062    0.00000000     -0.00024534    0.00000000      0.01226006    0.00000000     -0.00351987    0.00000000      0.01899691    0.00000000      0.00674527    0.00000000      0.00113002    0.00000000     -0.00000201    0.00000000  
 1550    73 hydro     3 d  -1 	     0.00009041    0.00000000      0.00065010    0.00000000      0.00046215    0.00000000      0.00043716    0.00000000     -0.00049678    0.00000000     -0.00011039    0.00000000     -0.00000971    0.00000000     -0.00056051    0.00000000     -0.00063856    0.00000000      0.00131153    0.00000000      0.00027949    0.00000000      0.00001675    0.00000000      0.00011754    0.00000000     -0.00063130    0.00000000     -0.00089967    0.00000000      0.00242159    0.00000000  
 1551    73 hydro     3 d   0 	     0.00376107    0.00000000      0.00108461    0.00000000      0.00136426    0.00000000      0.00417040    0.00000000      0.00614536    0.00000000      0.00125945    0.00000000     -0.00036265    0.00000000      0.00542080    0.00000000     -0.00058719    0.00000000     -0.00274376    0.00000000      0.00848936    0.00000000      0.00268513    0.00000000     -0.00661848    0.00000000      0.00326104    0.00000000     -0.00236513    0.00000000     -0.00096930    0.00000000  
 1552    73 hydro     3 d   1 	    -0.00016136    0.00000000     -0.00014204    0.00000000      0.00021662    0.00000000      0.00001465    0.00000000      0.00025270    0.00000000     -0.00014850    0.00000000      0.00001372    0.00000000     -0.00021010    0.00000000     -0.00030313    0.00000000      0.00001669    0.00000000      0.00065186    0.00000000     -0.00030519    0.00000000     -0.00014075    0.00000000     -0.00030339    0.00000000      0.00187253    0.00000000     -0.00146670    0.00000000  
 1553    73 hydro     3 d   2 	     0.01456995    0.00000000      0.00211721    0.00000000     -0.00435067    0.00000000      0.00305162    0.00000000     -0.00523782    0.00000000      0.00304482    0.00000000      0.00466007    0.00000000      0.00220131    0.00000000     -0.00563505    0.00000000     -0.00168081    0.00000000     -0.01070106    0.00000000     -0.00328769    0.00000000      0.00744515    0.00000000     -0.00394505    0.00000000     -0.00376844    0.00000000      0.00084291    0.00000000  
 1554    73 atomic    4 f  -3 	    -0.00004900    0.00000000      0.00035347    0.00000000     -0.00005605    0.00000000     -0.00000208    0.00000000      0.00001458    0.00000000      0.00003250    0.00000000     -0.00003419    0.00000000     -0.00006050    0.00000000     -0.00001803    0.00000000     -0.00004247    0.00000000     -0.00004255    0.00000000     -0.00021968    0.00000000     -0.00008146    0.00000000      0.00016085    0.00000000      0.00002988    0.00000000     -0.00007902    0.00000000  
 1555    73 atomic    4 f  -2 	    -0.00000399    0.00000000      0.00000628    0.00000000     -0.00000546    0.00000000      0.00000817    0.00000000      0.00000251    0.00000000     -0.00000438    0.00000000     -0.00001263    0.00000000     -0.00000960    0.00000000     -0.00000107    0.00000000     -0.00002128    0.00000000      0.00000547    0.00000000      0.00000287    0.00000000     -0.00000720    0.00000000     -0.00000322    0.00000000     -0.00007864    0.00000000     -0.00006950    0.00000000  
 1556    73 atomic    4 f  -1 	    -0.00001417    0.00000000      0.00022404    0.00000000      0.00016095    0.00000000      0.00009611    0.00000000     -0.00007386    0.00000000     -0.00025131    0.00000000     -0.00006624    0.00000000      0.00002277    0.00000000     -0.00014291    0.00000000     -0.00003838    0.00000000      0.00001691    0.00000000      0.00009587    0.00000000      0.00003078    0.00000000     -0.00006467    0.00000000     -0.00003184    0.00000000     -0.00005924    0.00000000  
 1557    73 atomic    4 f   0 	     0.00001619    0.00000000      0.00000016    0.00000000     -0.00000336    0.00000000      0.00000814    0.00000000      0.00000715    0.00000000      0.00001680    0.00000000      0.00000832    0.00000000      0.00000017    0.00000000     -0.00000853    0.00000000      0.00008378    0.00000000      0.00000804    0.00000000     -0.00000509    0.00000000     -0.00000087    0.00000000      0.00000320    0.00000000      0.00006046    0.00000000      0.00005805    0.00000000  
 1558    73 atomic    4 f   1 	    -0.00002446    0.00000000     -0.00001185    0.00000000      0.00007551    0.00000000      0.00015027    0.00000000     -0.00000650    0.00000000      0.00018898    0.00000000     -0.00002763    0.00000000     -0.00025585    0.00000000     -0.00014590    0.00000000     -0.00007363    0.00000000      0.00010047    0.00000000     -0.00017434    0.00000000     -0.00002135    0.00000000     -0.00022974    0.00000000     -0.00009203    0.00000000      0.00005672    0.00000000  
 1559    73 atomic    4 f   2 	     0.00000429    0.00000000     -0.00000357    0.00000000     -0.00000147    0.00000000     -0.00000033    0.00000000     -0.00000215    0.00000000      0.00001142    0.00000000      0.00001194    0.00000000      0.00000673    0.00000000     -0.00000245    0.00000000      0.00004583    0.00000000     -0.00000035    0.00000000      0.00000538    0.00000000      0.00000517    0.00000000      0.00000538    0.00000000      0.00005927    0.00000000      0.00000789    0.00000000  
 1560    73 atomic    4 f   3 	     0.00000444    0.00000000      0.00002932    0.00000000      0.00000568    0.00000000     -0.00026521    0.00000000      0.00025063    0.00000000     -0.00008615    0.00000000      0.00027714    0.00000000     -0.00010025    0.00000000     -0.00021411    0.00000000     -0.00003911    0.00000000      0.00003156    0.00000000     -0.00006093    0.00000000     -0.00000735    0.00000000     -0.00008897    0.00000000     -0.00002994    0.00000000      0.00001868    0.00000000  
 1561    73 hydro     4 f  -3 	     0.00049836    0.00000000     -0.00373171    0.00000000      0.00056690    0.00000000      0.00009230    0.00000000     -0.00009980    0.00000000     -0.00037135    0.00000000      0.00043635    0.00000000      0.00060036    0.00000000      0.00023568    0.00000000      0.00043817    0.00000000      0.00042658    0.00000000      0.00181888    0.00000000      0.00075175    0.00000000     -0.00129132    0.00000000     -0.00047139    0.00000000      0.00105194    0.00000000  
 1562    73 hydro     4 f  -2 	    -0.00001521    0.00000000     -0.00001745    0.00000000      0.00018032    0.00000000     -0.00009776    0.00000000     -0.00012911    0.00000000      0.00007874    0.00000000      0.00005379    0.00000000      0.00013514    0.00000000     -0.00009364    0.00000000     -0.00014755    0.00000000     -0.00015863    0.00000000     -0.00000284    0.00000000     -0.00000652    0.00000000     -0.00007432    0.00000000      0.00118335    0.00000000      0.00114272    0.00000000  
 1563    73 hydro     4 f  -1 	     0.00017220    0.00000000     -0.00263377    0.00000000     -0.00180910    0.00000000     -0.00103178    0.00000000      0.00069048    0.00000000      0.00285340    0.00000000      0.00076959    0.00000000     -0.00043667    0.00000000      0.00138904    0.00000000      0.00147099    0.00000000     -0.00014991    0.00000000     -0.00109937    0.00000000     -0.00029351    0.00000000      0.00069001    0.00000000      0.00096504    0.00000000      0.00195978    0.00000000  
 1564    73 hydro     4 f   0 	    -0.00003859    0.00000000     -0.00000501    0.00000000      0.00014116    0.00000000      0.00003584    0.00000000      0.00004474    0.00000000     -0.00001384    0.00000000     -0.00006116    0.00000000      0.00008804    0.00000000      0.00008087    0.00000000     -0.00074052    0.00000000     -0.00000447    0.00000000      0.00005021    0.00000000     -0.00008649    0.00000000     -0.00003754    0.00000000     -0.00057060    0.00000000     -0.00057832    0.00000000  
 1565    73 hydro     4 f   1 	     0.00028599    0.00000000      0.00015547    0.00000000     -0.00086195    0.00000000     -0.00163805    0.00000000      0.00019543    0.00000000     -0.00212487    0.00000000      0.00024603    0.00000000      0.00288298    0.00000000      0.00160898    0.00000000      0.00102838    0.00000000     -0.00098266    0.00000000      0.00183656    0.00000000      0.00012518    0.00000000      0.00245992    0.00000000      0.00173281    0.00000000     -0.00164718    0.00000000  
 1566    73 hydro     4 f   2 	    -0.00022103    0.00000000     -0.00001532    0.00000000      0.00006655    0.00000000     -0.00004667    0.00000000      0.00011549    0.00000000     -0.00012807    0.00000000     -0.00014097    0.00000000     -0.00008799    0.00000000      0.00007107    0.00000000     -0.00032150    0.00000000      0.00020862    0.00000000     -0.00002471    0.00000000     -0.00010804    0.00000000     -0.00004586    0.00000000     -0.00068933    0.00000000      0.00061338    0.00000000  
 1567    73 hydro     4 f   3 	    -0.00017454    0.00000000     -0.00037673    0.00000000     -0.00003537    0.00000000      0.00323619    0.00000000     -0.00307885    0.00000000      0.00104255    0.00000000     -0.00356974    0.00000000      0.00130935    0.00000000      0.00282145    0.00000000      0.00054198    0.00000000     -0.00037127    0.00000000      0.00090370    0.00000000      0.00000326    0.00000000      0.00132891    0.00000000      0.00011686    0.00000000     -0.00000838    0.00000000  
 1568    74 atomic    1 s   0 	     0.00002069    0.00000000     -0.00004070    0.00000000     -0.00005899    0.00000000     -0.00000051    0.00000000     -0.00001549    0.00000000      0.00005482    0.00000000      0.00003990    0.00000000      0.00001829    0.00000000     -0.00000897    0.00000000     -0.00001584    0.00000000     -0.00003172    0.00000000     -0.00004391    0.00000000      0.00000209    0.00000000      0.00002295    0.00000000     -0.00000654    0.00000000      0.00000574    0.00000000  
 1569    74 atomic    2 s   0 	    -0.00014048    0.00000000      0.00027653    0.00000000      0.00040071    0.00000000      0.00000360    0.00000000      0.00010517    0.00000000     -0.00037268    0.00000000     -0.00027112    0.00000000     -0.00012433    0.00000000      0.00006069    0.00000000      0.00010740    0.00000000      0.00021553    0.00000000      0.00029847    0.00000000     -0.00001421    0.00000000     -0.00015596    0.00000000      0.00004430    0.00000000     -0.00003864    0.00000000  
 1570    74 atomic    3 s   0 	     0.00049481    0.00000000     -0.00097392    0.00000000     -0.00141221    0.00000000     -0.00001214    0.00000000     -0.00037040    0.00000000      0.00131107    0.00000000      0.00095427    0.00000000      0.00043785    0.00000000     -0.00021436    0.00000000     -0.00037992    0.00000000     -0.00075493    0.00000000     -0.00104467    0.00000000      0.00004959    0.00000000      0.00054637    0.00000000     -0.00015586    0.00000000      0.00013702    0.00000000  
 1571    74 atomic    4 s   0 	    -0.00155504    0.00000000      0.00307694    0.00000000      0.00445955    0.00000000      0.00004404    0.00000000      0.00116748    0.00000000     -0.00414785    0.00000000     -0.00301292    0.00000000     -0.00138776    0.00000000      0.00066092    0.00000000      0.00118504    0.00000000      0.00235200    0.00000000      0.00325575    0.00000000     -0.00015673    0.00000000     -0.00170145    0.00000000      0.00047887    0.00000000     -0.00040603    0.00000000  
 1572    74 atomic    5 s   0 	     0.00553670    0.00000000     -0.01112772    0.00000000     -0.01617706    0.00000000     -0.00020875    0.00000000     -0.00423105    0.00000000      0.01505862    0.00000000      0.01088529    0.00000000      0.00505204    0.00000000     -0.00222702    0.00000000     -0.00403660    0.00000000     -0.00785942    0.00000000     -0.01085395    0.00000000      0.00054057    0.00000000      0.00566925    0.00000000     -0.00153495    0.00000000      0.00118393    0.00000000  
 1573    74 ionic     6 s   0 	     0.05043962    0.00000000     -0.10871886    0.00000000     -0.14692263    0.00000000     -0.00834381    0.00000000     -0.03853211    0.00000000      0.15988772    0.00000000      0.10895842    0.00000000      0.05166674    0.00000000     -0.00927839    0.00000000     -0.02335606    0.00000000     -0.09995945    0.00000000     -0.14594853    0.00000000      0.00978675    0.00000000      0.07122541    0.00000000     -0.01150819    0.00000000     -0.00732467    0.00000000  
 1574    74 atomic    6 s   0 	     0.00698241    0.00000000     -0.01461226    0.00000000     -0.01721820    0.00000000     -0.00113616    0.00000000     -0.00461513    0.00000000      0.02139605    0.00000000      0.01389314    0.00000000      0.00689079    0.00000000      0.00012096    0.00000000     -0.00115839    0.00000000     -0.01346548    0.00000000     -0.02101770    0.00000000      0.00176463    0.00000000      0.00960511    0.00000000     -0.00047647    0.00000000     -0.00353954    0.00000000  
 1575    74 atomic    2 p  -1 	     0.00001401    0.00000000      0.00001535    0.00000000      0.00000252    0.00000000      0.00002071    0.00000000      0.00000618    0.00000000     -0.00000150    0.00000000      0.00000450    0.00000000      0.00001821    0.00000000     -0.00001993    0.00000000      0.00000444    0.00000000      0.00000860    0.00000000     -0.00000263    0.00000000     -0.00000873    0.00000000      0.00000789    0.00000000      0.00000569    0.00000000     -0.00000155    0.00000000  
 1576    74 atomic    2 p   0 	    -0.00000037    0.00000000      0.00000127    0.00000000      0.00000036    0.00000000      0.00000036    0.00000000     -0.00000009    0.00000000     -0.00000155    0.00000000     -0.00000086    0.00000000     -0.00000071    0.00000000     -0.00000068    0.00000000     -0.00000074    0.00000000      0.00000011    0.00000000      0.00000070    0.00000000      0.00000009    0.00000000     -0.00000007    0.00000000     -0.00000057    0.00000000      0.00000104    0.00000000  
 1577    74 atomic    2 p   1 	     0.00000253    0.00000000     -0.00000278    0.00000000     -0.00001645    0.00000000      0.00000979    0.00000000     -0.00000779    0.00000000     -0.00001027    0.00000000     -0.00001851    0.00000000      0.00001226    0.00000000      0.00001379    0.00000000      0.00000474    0.00000000      0.00001008    0.00000000      0.00000515    0.00000000      0.00002523    0.00000000      0.00002172    0.00000000      0.00000429    0.00000000     -0.00000531    0.00000000  
 1578    74 atomic    3 p  -1 	    -0.00013829    0.00000000     -0.00015159    0.00000000     -0.00002482    0.00000000     -0.00020455    0.00000000     -0.00006105    0.00000000      0.00001484    0.00000000     -0.00004450    0.00000000     -0.00017987    0.00000000      0.00019679    0.00000000     -0.00004400    0.00000000     -0.00008493    0.00000000      0.00002608    0.00000000      0.00008615    0.00000000     -0.00007788    0.00000000     -0.00005648    0.00000000      0.00001510    0.00000000  
 1579    74 atomic    3 p   0 	     0.00000374    0.00000000     -0.00001262    0.00000000     -0.00000364    0.00000000     -0.00000356    0.00000000      0.00000068    0.00000000      0.00001554    0.00000000      0.00000863    0.00000000      0.00000705    0.00000000      0.00000669    0.00000000      0.00000766    0.00000000     -0.00000104    0.00000000     -0.00000706    0.00000000     -0.00000083    0.00000000      0.00000071    0.00000000      0.00000612    0.00000000     -0.00000983    0.00000000  
 1580    74 atomic    3 p   1 	    -0.00002500    0.00000000      0.00002745    0.00000000      0.00016251    0.00000000     -0.00009670    0.00000000      0.00007702    0.00000000      0.00010138    0.00000000      0.00018270    0.00000000     -0.00012111    0.00000000     -0.00013628    0.00000000     -0.00004715    0.00000000     -0.00009961    0.00000000     -0.00005076    0.00000000     -0.00024907    0.00000000     -0.00021441    0.00000000     -0.00004263    0.00000000      0.00005252    0.00000000  
 1581    74 atomic    4 p  -1 	     0.00110728    0.00000000      0.00121024    0.00000000      0.00019939    0.00000000      0.00163627    0.00000000      0.00048771    0.00000000     -0.00011601    0.00000000      0.00035586    0.00000000      0.00143958    0.00000000     -0.00157252    0.00000000      0.00034017    0.00000000      0.00067356    0.00000000     -0.00020744    0.00000000     -0.00068317    0.00000000      0.00061588    0.00000000      0.00043189    0.00000000     -0.00011645    0.00000000  
 1582    74 atomic    4 p   0 	    -0.00003110    0.00000000      0.00009770    0.00000000      0.00002739    0.00000000      0.00002772    0.00000000     -0.00000270    0.00000000     -0.00012289    0.00000000     -0.00006969    0.00000000     -0.00005568    0.00000000     -0.00005116    0.00000000     -0.00007656    0.00000000      0.00000660    0.00000000      0.00005726    0.00000000      0.00000676    0.00000000     -0.00000700    0.00000000     -0.00007313    0.00000000      0.00008187    0.00000000  
 1583    74 atomic    4 p   1 	     0.00019773    0.00000000     -0.00021745    0.00000000     -0.00130005    0.00000000      0.00077298    0.00000000     -0.00061850    0.00000000     -0.00081445    0.00000000     -0.00146396    0.00000000      0.00096780    0.00000000      0.00108992    0.00000000      0.00037014    0.00000000      0.00079143    0.00000000      0.00040367    0.00000000      0.00197588    0.00000000      0.00170292    0.00000000      0.00032429    0.00000000     -0.00040622    0.00000000  
 1584    74 atomic    5 p  -1 	    -0.01259178    0.00000000     -0.01362446    0.00000000     -0.00228014    0.00000000     -0.01848256    0.00000000     -0.00545772    0.00000000      0.00120392    0.00000000     -0.00400204    0.00000000     -0.01629998    0.00000000      0.01771248    0.00000000     -0.00331127    0.00000000     -0.00722922    0.00000000      0.00224265    0.00000000      0.00734049    0.00000000     -0.00657005    0.00000000     -0.00391531    0.00000000      0.00118122    0.00000000  
 1585    74 atomic    5 p   0 	     0.00038551    0.00000000     -0.00100024    0.00000000     -0.00026940    0.00000000     -0.00029132    0.00000000      0.00003332    0.00000000      0.00129275    0.00000000      0.00079039    0.00000000      0.00058674    0.00000000      0.00046733    0.00000000      0.00106664    0.00000000     -0.00006787    0.00000000     -0.00062772    0.00000000     -0.00009933    0.00000000      0.00009366    0.00000000      0.00126857    0.00000000     -0.00099543    0.00000000  
 1586    74 atomic    5 p   1 	    -0.00215294    0.00000000      0.00239576    0.00000000      0.01475521    0.00000000     -0.00869878    0.00000000      0.00704164    0.00000000      0.00933921    0.00000000      0.01665834    0.00000000     -0.01091155    0.00000000     -0.01227045    0.00000000     -0.00375991    0.00000000     -0.00849618    0.00000000     -0.00437916    0.00000000     -0.02116411    0.00000000     -0.01834134    0.00000000     -0.00286747    0.00000000      0.00392743    0.00000000  
 1587    74 ionic     6 p  -1 	    -0.03517634    0.00000000     -0.03711927    0.00000000     -0.00664817    0.00000000     -0.05004224    0.00000000     -0.01465369    0.00000000      0.00285490    0.00000000     -0.01070957    0.00000000     -0.04424284    0.00000000      0.04785708    0.00000000     -0.00529475    0.00000000     -0.02041110    0.00000000      0.00636728    0.00000000      0.02101047    0.00000000     -0.01793741    0.00000000     -0.00518280    0.00000000      0.00502920    0.00000000  
 1588    74 ionic     6 p   0 	     0.00023255    0.00000000     -0.00074382    0.00000000      0.00049289    0.00000000     -0.00075165    0.00000000      0.00048311    0.00000000      0.00053541    0.00000000      0.00046839    0.00000000      0.00079899    0.00000000      0.00112714    0.00000000      0.00217148    0.00000000      0.00022332    0.00000000     -0.00043144    0.00000000     -0.00070958    0.00000000      0.00035129    0.00000000      0.00261016    0.00000000     -0.00805896    0.00000000  
 1589    74 ionic     6 p   1 	    -0.00511399    0.00000000      0.00628693    0.00000000      0.03937753    0.00000000     -0.02362960    0.00000000      0.01891502    0.00000000      0.02613335    0.00000000      0.04605590    0.00000000     -0.02871919    0.00000000     -0.03323630    0.00000000     -0.00751293    0.00000000     -0.02426430    0.00000000     -0.01287285    0.00000000     -0.06021162    0.00000000     -0.05236018    0.00000000     -0.00562514    0.00000000      0.00919022    0.00000000  
 1590    74 atomic    3 d  -2 	    -0.00000023    0.00000000     -0.00000017    0.00000000      0.00000016    0.00000000     -0.00000246    0.00000000     -0.00000034    0.00000000      0.00000155    0.00000000     -0.00000258    0.00000000      0.00000110    0.00000000     -0.00000250    0.00000000      0.00000001    0.00000000     -0.00000723    0.00000000      0.00000789    0.00000000     -0.00000469    0.00000000      0.00000707    0.00000000      0.00000087    0.00000000      0.00000186    0.00000000  
 1591    74 atomic    3 d  -1 	    -0.00000003    0.00000000     -0.00000020    0.00000000      0.00000016    0.00000000     -0.00000032    0.00000000      0.00000026    0.00000000      0.00000003    0.00000000      0.00000006    0.00000000     -0.00000021    0.00000000      0.00000016    0.00000000      0.00000072    0.00000000     -0.00000005    0.00000000      0.00000012    0.00000000      0.00000034    0.00000000     -0.00000036    0.00000000      0.00000181    0.00000000      0.00000233    0.00000000  
 1592    74 atomic    3 d   0 	    -0.00000179    0.00000000      0.00000377    0.00000000      0.00000542    0.00000000      0.00000013    0.00000000      0.00000144    0.00000000     -0.00000598    0.00000000     -0.00000407    0.00000000     -0.00000200    0.00000000      0.00000035    0.00000000     -0.00000012    0.00000000      0.00000218    0.00000000      0.00000332    0.00000000     -0.00000014    0.00000000     -0.00000152    0.00000000     -0.00000099    0.00000000      0.00000056    0.00000000  
 1593    74 atomic    3 d   1 	     0.00000015    0.00000000     -0.00000035    0.00000000      0.00000009    0.00000000     -0.00000023    0.00000000      0.00000059    0.00000000      0.00000043    0.00000000      0.00000029    0.00000000     -0.00000014    0.00000000     -0.00000000    0.00000000      0.00000047    0.00000000     -0.00000035    0.00000000      0.00000008    0.00000000     -0.00000013    0.00000000     -0.00000037    0.00000000      0.00000101    0.00000000     -0.00000080    0.00000000  
 1594    74 atomic    3 d   2 	     0.00000151    0.00000000     -0.00000176    0.00000000      0.00000025    0.00000000      0.00000027    0.00000000      0.00000001    0.00000000     -0.00000002    0.00000000      0.00000021    0.00000000      0.00000037    0.00000000      0.00000020    0.00000000      0.00000140    0.00000000      0.00000433    0.00000000      0.00000559    0.00000000     -0.00000058    0.00000000     -0.00000258    0.00000000      0.00000001    0.00000000     -0.00000076    0.00000000  
 1595    74 atomic    4 d  -2 	     0.00000621    0.00000000      0.00002260    0.00000000      0.00003437    0.00000000      0.00024036    0.00000000     -0.00004096    0.00000000     -0.00005578    0.00000000      0.00020044    0.00000000     -0.00011175    0.00000000      0.00020068    0.00000000      0.00000496    0.00000000      0.00035080    0.00000000     -0.00038470    0.00000000      0.00022385    0.00000000     -0.00034092    0.00000000     -0.00004217    0.00000000     -0.00007042    0.00000000  
 1596    74 atomic    4 d  -1 	     0.00000775    0.00000000      0.00000469    0.00000000     -0.00000190    0.00000000      0.00002514    0.00000000     -0.00001744    0.00000000      0.00000642    0.00000000     -0.00000191    0.00000000      0.00001399    0.00000000     -0.00001136    0.00000000     -0.00005599    0.00000000      0.00000219    0.00000000     -0.00000591    0.00000000     -0.00000774    0.00000000      0.00000571    0.00000000     -0.00007718    0.00000000     -0.00002334    0.00000000  
 1597    74 atomic    4 d   0 	     0.00005558    0.00000000     -0.00014859    0.00000000     -0.00018780    0.00000000     -0.00001324    0.00000000     -0.00004482    0.00000000      0.00022243    0.00000000      0.00014398    0.00000000      0.00007968    0.00000000      0.00001126    0.00000000      0.00002407    0.00000000     -0.00003156    0.00000000     -0.00005502    0.00000000      0.00000181    0.00000000      0.00002030    0.00000000      0.00004399    0.00000000     -0.00003278    0.00000000  
 1598    74 atomic    4 d   1 	    -0.00001093    0.00000000      0.00001925    0.00000000     -0.00000574    0.00000000      0.00001326    0.00000000     -0.00003175    0.00000000     -0.00002572    0.00000000     -0.00001995    0.00000000      0.00000770    0.00000000      0.00000306    0.00000000     -0.00005258    0.00000000      0.00001232    0.00000000     -0.00000184    0.00000000      0.00000726    0.00000000      0.00001163    0.00000000     -0.00006463    0.00000000      0.00005103    0.00000000  
 1599    74 atomic    4 d   2 	    -0.00018368    0.00000000      0.00022489    0.00000000     -0.00004425    0.00000000     -0.00002496    0.00000000     -0.00009836    0.00000000     -0.00003533    0.00000000      0.00000322    0.00000000     -0.00005084    0.00000000     -0.00004693    0.00000000     -0.00005614    0.00000000     -0.00020626    0.00000000     -0.00027401    0.00000000      0.00002829    0.00000000      0.00013014    0.00000000      0.00000902    0.00000000      0.00003941    0.00000000  
 1600    74 atomic    5 d  -2 	     0.00002921    0.00000000     -0.01175704    0.00000000     -0.02636373    0.00000000     -0.12236020    0.00000000      0.03511241    0.00000000      0.00894315    0.00000000     -0.09189873    0.00000000      0.05724299    0.00000000     -0.09395665    0.00000000     -0.00258461    0.00000000     -0.10463966    0.00000000      0.11565404    0.00000000     -0.06564476    0.00000000      0.10061417    0.00000000      0.01061127    0.00000000      0.01498465    0.00000000  
 1601    74 atomic    5 d  -1 	    -0.00404707    0.00000000     -0.00018494    0.00000000      0.00004952    0.00000000     -0.01090021    0.00000000      0.00764787    0.00000000     -0.00453865    0.00000000      0.00042440    0.00000000     -0.00514692    0.00000000      0.00430399    0.00000000      0.01884291    0.00000000     -0.00052310    0.00000000      0.00185790    0.00000000      0.00062353    0.00000000      0.00021322    0.00000000      0.01671889    0.00000000     -0.00600986    0.00000000  
 1602    74 atomic    5 d   0 	    -0.00970890    0.00000000      0.03853528    0.00000000      0.03857999    0.00000000      0.00651936    0.00000000      0.00786474    0.00000000     -0.05262350    0.00000000     -0.03153359    0.00000000     -0.02024810    0.00000000     -0.01098317    0.00000000     -0.01653024    0.00000000     -0.00910256    0.00000000     -0.01025898    0.00000000      0.00119946    0.00000000      0.00710263    0.00000000     -0.01244930    0.00000000      0.01122242    0.00000000  
 1603    74 atomic    5 d   1 	     0.00462046    0.00000000     -0.00774704    0.00000000      0.00203277    0.00000000     -0.00431986    0.00000000      0.01138676    0.00000000      0.00952463    0.00000000      0.00740405    0.00000000     -0.00253738    0.00000000     -0.00159408    0.00000000      0.01884141    0.00000000     -0.00237969    0.00000000      0.00026903    0.00000000     -0.00143354    0.00000000     -0.00211249    0.00000000      0.01843554    0.00000000     -0.01142841    0.00000000  
 1604    74 atomic    5 d   2 	     0.10103556    0.00000000     -0.12569389    0.00000000      0.02630342    0.00000000      0.01251559    0.00000000      0.06761129    0.00000000      0.02513539    0.00000000     -0.00644537    0.00000000      0.02816511    0.00000000      0.02861244    0.00000000      0.01359528    0.00000000      0.06064148    0.00000000      0.08281939    0.00000000     -0.00858790    0.00000000     -0.03985444    0.00000000     -0.00461030    0.00000000     -0.00931929    0.00000000  
 1605    74 hydro     3 d  -2 	    -0.00012979    0.00000000      0.00095994    0.00000000      0.00369013    0.00000000      0.01116451    0.00000000     -0.00390139    0.00000000      0.00067468    0.00000000      0.00663142    0.00000000     -0.00475349    0.00000000      0.00838109    0.00000000      0.00030683    0.00000000      0.01263499    0.00000000     -0.01376894    0.00000000      0.00794763    0.00000000     -0.01250733    0.00000000     -0.00247927    0.00000000     -0.00325804    0.00000000  
 1606    74 hydro     3 d  -1 	    -0.00015734    0.00000000     -0.00059150    0.00000000     -0.00014091    0.00000000     -0.00001315    0.00000000     -0.00046723    0.00000000      0.00052102    0.00000000     -0.00005981    0.00000000     -0.00046361    0.00000000      0.00021319    0.00000000     -0.00052368    0.00000000     -0.00033926    0.00000000     -0.00010637    0.00000000      0.00041617    0.00000000     -0.00055941    0.00000000     -0.00135970    0.00000000      0.00192929    0.00000000  
 1607    74 hydro     3 d   0 	    -0.00198127    0.00000000      0.00262381    0.00000000      0.00474134    0.00000000     -0.00036161    0.00000000      0.00138442    0.00000000     -0.00419225    0.00000000     -0.00329373    0.00000000     -0.00112472    0.00000000      0.00185390    0.00000000      0.00274766    0.00000000      0.00580341    0.00000000      0.00854743    0.00000000     -0.00037923    0.00000000     -0.00424804    0.00000000      0.00101191    0.00000000     -0.00257242    0.00000000  
